valid_time,avg_tdswrf,number,expver
1940-01-01 06:00:00,320.6275,0,0001
1940-02-01 06:00:00,299.68692,0,0001
1940-03-01 06:00:00,280.41522,0,0001
1940-04-01 06:00:00,284.87546,0,0001
1940-05-01 06:00:00,299.0963,0,0001
1940-06-01 06:00:00,306.2674,0,0001
1940-07-01 06:00:00,301.25525,0,0001
1940-08-01 06:00:00,286.8361,0,0001
1940-09-01 06:00:00,275.22797,0,0001
1940-10-01 06:00:00,287.31342,0,0001
1940-11-01 06:00:00,311.66656,0,0001
1940-12-01 06:00:00,326.03757,0,0001
1941-01-01 06:00:00,320.226,0,0001
1941-02-01 06:00:00,299.46283,0,0001
1941-03-01 06:00:00,280.47476,0,0001
1941-04-01 06:00:00,284.75284,0,0001
1941-05-01 06:00:00,298.9834,0,0001
1941-06-01 06:00:00,306.24023,0,0001
1941-07-01 06:00:00,301.32175,0,0001
1941-08-01 06:00:00,286.94318,0,0001
1941-09-01 06:00:00,275.22992,0,0001
1941-10-01 06:00:00,287.11227,0,0001
1941-11-01 06:00:00,311.47046,0,0001
1941-12-01 06:00:00,325.97754,0,0001
1942-01-01 06:00:00,320.32645,0,0001
1942-02-01 06:00:00,299.6379,0,0001
1942-03-01 06:00:00,280.5311,0,0001
1942-04-01 06:00:00,284.6256,0,0001
1942-05-01 06:00:00,298.86484,0,0001
1942-06-01 06:00:00,306.20685,0,0001
1942-07-01 06:00:00,301.38208,0,0001
1942-08-01 06:00:00,287.04532,0,0001
1942-09-01 06:00:00,275.22885,0,0001
1942-10-01 06:00:00,286.90677,0,0001
1942-11-01 06:00:00,311.26828,0,0001
1942-12-01 06:00:00,325.9105,0,0001
1943-01-01 06:00:00,320.41302,0,0001
1943-02-01 06:00:00,299.8009,0,0001
1943-03-01 06:00:00,280.57816,0,0001
1943-04-01 06:00:00,284.4877,0,0001
1943-05-01 06:00:00,298.73358,0,0001
1943-06-01 06:00:00,306.1607,0,0001
1943-07-01 06:00:00,301.43015,0,0001
1943-08-01 06:00:00,287.13605,0,0001
1943-09-01 06:00:00,275.2184,0,0001
1943-10-01 06:00:00,286.69067,0,0001
1943-11-01 06:00:00,311.05304,0,0001
1943-12-01 06:00:00,325.82895,0,0001
1944-01-01 06:00:00,320.54208,0,0001
1944-02-01 06:00:00,299.60117,0,0001
1944-03-01 06:00:00,280.3509,0,0001
1944-04-01 06:00:00,284.834,0,0001
1944-05-01 06:00:00,299.04865,0,0001
1944-06-01 06:00:00,306.2021,0,0001
1944-07-01 06:00:00,301.17316,0,0001
1944-08-01 06:00:00,286.74744,0,0001
1944-09-01 06:00:00,275.15427,0,0001
1944-10-01 06:00:00,287.26245,0,0001
1944-11-01 06:00:00,311.61026,0,0001
1944-12-01 06:00:00,325.96542,0,0001
1945-01-01 06:00:00,320.221,0,0001
1945-02-01 06:00:00,299.453,0,0001
1945-03-01 06:00:00,280.48123,0,0001
1945-04-01 06:00:00,284.78357,0,0001
1945-05-01 06:00:00,299.01166,0,0001
1945-06-01 06:00:00,306.25284,0,0001
1945-07-01 06:00:00,301.31607,0,0001
1945-08-01 06:00:00,286.92752,0,0001
1945-09-01 06:00:00,275.2257,0,0001
1945-10-01 06:00:00,287.13406,0,0001
1945-11-01 06:00:00,311.49332,0,0001
1945-12-01 06:00:00,325.98813,0,0001
1946-01-01 06:00:00,320.36908,0,0001
1946-02-01 06:00:00,299.67206,0,0001
1946-03-01 06:00:00,280.5787,0,0001
1946-04-01 06:00:00,284.69812,0,0001
1946-05-01 06:00:00,298.9371,0,0001
1946-06-01 06:00:00,306.26477,0,0001
1946-07-01 06:00:00,301.4211,0,0001
1946-08-01 06:00:00,287.0718,0,0001
1946-09-01 06:00:00,275.26498,0,0001
1946-10-01 06:00:00,286.97083,0,0001
1946-11-01 06:00:00,311.3371,0,0001
1946-12-01 06:00:00,325.96902,0,0001
1947-01-01 06:00:00,320.54843,0,0001
1947-02-01 06:00:00,299.9223,0,0001
1947-03-01 06:00:00,280.7071,0,0001
1947-04-01 06:00:00,284.6429,0,0001
1947-05-01 06:00:00,298.89304,0,0001
1947-06-01 06:00:00,306.30774,0,0001
1947-07-01 06:00:00,301.5568,0,0001
1947-08-01 06:00:00,287.2461,0,0001
1947-09-01 06:00:00,275.3344,0,0001
1947-10-01 06:00:00,286.83792,0,0001
1947-11-01 06:00:00,311.2123,0,0001
1947-12-01 06:00:00,325.98254,0,0001
1948-01-01 06:00:00,320.70184,0,0001
1948-02-01 06:00:00,299.74472,0,0001
1948-03-01 06:00:00,280.5013,0,0001
1948-04-01 06:00:00,285.0106,0,0001
1948-05-01 06:00:00,299.2299,0,0001
1948-06-01 06:00:00,306.3713,0,0001
1948-07-01 06:00:00,301.32162,0,0001
1948-08-01 06:00:00,286.8786,0,0001
1948-09-01 06:00:00,275.2913,0,0001
1948-10-01 06:00:00,287.43143,0,0001
1948-11-01 06:00:00,311.79257,0,0001
1948-12-01 06:00:00,326.14252,0,0001
1949-01-01 06:00:00,320.29672,0,0001
1949-02-01 06:00:00,299.51724,0,0001
1949-03-01 06:00:00,280.55737,0,0001
1949-04-01 06:00:00,284.88477,0,0001
1949-05-01 06:00:00,299.114,0,0001
1949-06-01 06:00:00,306.34122,0,0001
1949-07-01 06:00:00,301.38504,0,0001
1949-08-01 06:00:00,286.98276,0,0001
1949-09-01 06:00:00,275.29013,0,0001
1949-10-01 06:00:00,287.22705,0,0001
1949-11-01 06:00:00,311.59332,0,0001
1949-12-01 06:00:00,326.0794,0,0001
1950-01-01 06:00:00,320.36487,0,0001
1950-02-01 06:00:00,299.6617,0,0001
1950-03-01 06:00:00,280.5847,0,0001
