valid_time,vit,number,expver
1954-10-01,2430520.5,0,0001
1954-11-01,2429980.8,0,0001
1954-12-01,2436154.5,0,0001
1955-01-01,2436329.2,0,0001
1955-02-01,2437134.8,0,0001
1955-03-01,2434243.5,0,0001
1955-04-01,2436014.5,0,0001
1955-05-01,2444951.0,0,0001
1955-06-01,2450081.8,0,0001
1955-07-01,2449184.2,0,0001
1955-08-01,2451278.8,0,0001
1955-09-01,2440363.0,0,0001
1955-10-01,2432232.2,0,0001
1955-11-01,2431140.0,0,0001
1955-12-01,2433596.0,0,0001
1956-01-01,2438927.5,0,0001
1956-02-01,2433890.5,0,0001
1956-03-01,2432446.0,0,0001
1956-04-01,2440586.5,0,0001
1956-05-01,2441071.5,0,0001
1956-06-01,2447699.5,0,0001
1956-07-01,2449424.8,0,0001
1956-08-01,2446975.0,0,0001
1956-09-01,2438327.0,0,0001
1956-10-01,2428846.2,0,0001
1956-11-01,2433709.0,0,0001
1956-12-01,2436701.5,0,0001
1957-01-01,2431543.8,0,0001
1957-02-01,2441867.5,0,0001
1957-03-01,2437253.8,0,0001
1957-04-01,2438989.0,0,0001
1957-05-01,2448181.8,0,0001
1957-06-01,2456134.5,0,0001
1957-07-01,2454921.8,0,0001
1957-08-01,2450982.8,0,0001
1957-09-01,2442797.5,0,0001
1957-10-01,2436816.5,0,0001
1957-11-01,2440250.5,0,0001
1957-12-01,2437216.2,0,0001
1958-01-01,2440073.0,0,0001
1958-02-01,2444733.5,0,0001
1958-03-01,2441345.8,0,0001
1958-04-01,2441077.0,0,0001
1958-05-01,2447003.8,0,0001
1958-06-01,2453480.2,0,0001
1958-07-01,2454444.0,0,0001
1958-08-01,2449249.5,0,0001
1958-09-01,2437308.5,0,0001
1958-10-01,2432849.8,0,0001
1958-11-01,2435742.2,0,0001
1958-12-01,2437218.0,0,0001
1959-01-01,2440268.5,0,0001
1959-02-01,2431745.5,0,0001
1959-03-01,2435382.5,0,0001
1959-04-01,2444851.2,0,0001
1959-05-01,2448299.0,0,0001
1959-06-01,2453058.2,0,0001
1959-07-01,2454239.8,0,0001
1959-08-01,2453698.5,0,0001
1959-09-01,2439203.5,0,0001
1959-10-01,2433727.5,0,0001
1959-11-01,2431438.5,0,0001
1959-12-01,2434635.8,0,0001
1960-01-01,2441301.2,0,0001
1960-02-01,2438604.0,0,0001
1960-03-01,2429830.5,0,0001
1960-04-01,2439267.8,0,0001
1960-05-01,2447503.5,0,0001
1960-06-01,2452285.8,0,0001
1960-07-01,2452892.2,0,0001
1960-08-01,2452414.8,0,0001
1960-09-01,2439820.2,0,0001
1960-10-01,2435146.0,0,0001
1960-11-01,2433530.2,0,0001
1960-12-01,2438092.0,0,0001
1961-01-01,2440293.5,0,0001
1961-02-01,2433703.8,0,0001
1961-03-01,2436073.5,0,0001
1961-04-01,2443651.2,0,0001
1961-05-01,2447115.8,0,0001
1961-06-01,2454075.2,0,0001
1961-07-01,2454561.0,0,0001
1961-08-01,2449682.2,0,0001
1961-09-01,2443342.2,0,0001
1961-10-01,2432218.8,0,0001
1961-11-01,2429249.8,0,0001
1961-12-01,2429372.8,0,0001
1962-01-01,2430784.2,0,0001
1962-02-01,2434573.8,0,0001
1962-03-01,2437095.8,0,0001
1962-04-01,2434417.5,0,0001
1962-05-01,2442242.8,0,0001
1962-06-01,2450155.0,0,0001
1962-07-01,2450225.2,0,0001
1962-08-01,2448038.0,0,0001
1962-09-01,2439129.5,0,0001
1962-10-01,2432487.0,0,0001
1962-11-01,2436500.2,0,0001
1962-12-01,2433108.2,0,0001
1963-01-01,2436012.5,0,0001
1963-02-01,2436391.8,0,0001
1963-03-01,2432109.0,0,0001
1963-04-01,2437719.0,0,0001
1963-05-01,2444184.8,0,0001
1963-06-01,2451551.5,0,0001
1963-07-01,2453109.5,0,0001
1963-08-01,2453120.5,0,0001
1963-09-01,2442605.8,0,0001
1963-10-01,2433490.5,0,0001
1963-11-01,2430239.8,0,0001
1963-12-01,2436722.8,0,0001
1964-01-01,2434652.5,0,0001
1964-02-01,2433862.2,0,0001
1964-03-01,2434792.5,0,0001
1964-04-01,2437630.8,0,0001
1964-05-01,2440271.8,0,0001
1964-06-01,2451278.2,0,0001
1964-07-01,2456328.8,0,0001
1964-08-01,2452148.8,0,0001
1964-09-01,2439405.2,0,0001
1964-10-01,2432539.5,0,0001
1964-11-01,2436331.8,0,0001
1964-12-01,2435008.8,0,0001
1965-01-01,2435222.8,0,0001
1965-02-01,2438582.5,0,0001
1965-03-01,2432225.2,0,0001
1965-04-01,2434503.8,0,0001
1965-05-01,2443438.2,0,0001
1965-06-01,2448785.8,0,0001
1965-07-01,2452804.0,0,0001
1965-08-01,2448413.2,0,0001
1965-09-01,2440435.0,0,0001
1965-10-01,2430948.5,0,0001
1965-11-01,2434316.0,0,0001
1965-12-01,2438643.5,0,0001
1966-01-01,2435363.0,0,0001
1966-02-01,2441839.2,0,0001
1966-03-01,2439995.2,0,0001
1966-04-01,2442082.2,0,0001
1966-05-01,2442967.8,0,0001
1966-06-01,2450620.0,0,0001
1966-07-01,2457366.8,0,0001
1966-08-01,2448528.2,0,0001
1966-09-01,2440688.5,0,0001
1966-10-01,2429895.5,0,0001
1966-11-01,2435282.5,0,0001
1966-12-01,2439249.8,0,0001
1967-01-01,2436688.0,0,0001
1967-02-01,2431387.8,0,0001
1967-03-01,2430882.5,0,0001
1967-04-01,2433446.8,0,0001
1967-05-01,2445981.0,0,0001
1967-06-01,2450619.8,0,0001
1967-07-01,2452321.5,0,0001
1967-08-01,2447942.0,0,0001
1967-09-01,2440421.5,0,0001
1967-10-01,2431215.5,0,0001
1967-11-01,2431975.8,0,0001
1967-12-01,2436617.2,0,0001
1968-01-01,2439693.5,0,0001
1968-02-01,2437184.8,0,0001
1968-03-01,2431589.5,0,0001
1968-04-01,2434719.8,0,0001
1968-05-01,2444261.0,0,0001
1968-06-01,2447607.2,0,0001
1968-07-01,2451488.5,0,0001
1968-08-01,2447066.8,0,0001
1968-09-01,2437150.0,0,0001
1968-10-01,2433656.2,0,0001
1968-11-01,2437614.0,0,0001
1968-12-01,2437456.0,0,0001
1969-01-01,2443205.5,0,0001
1969-02-01,2437885.2,0,0001
1969-03-01,2435397.2,0,0001
