valid_time,avg_snswrf,number,expver
1951-07-01 06:00:00,128.98068,0,0001
1951-08-01 06:00:00,127.35378,0,0001
1951-09-01 06:00:00,126.68744,0,0001
1951-10-01 06:00:00,126.726204,0,0001
1951-11-01 06:00:00,131.78,0,0001
1951-12-01 06:00:00,136.66324,0,0001
1952-01-01 06:00:00,136.74426,0,0001
1952-02-01 06:00:00,132.65953,0,0001
1952-03-01 06:00:00,127.66087,0,0001
1952-04-01 06:00:00,126.22665,0,0001
1952-05-01 06:00:00,125.332275,0,0001
1952-06-01 06:00:00,127.69629,0,0001
1952-07-01 06:00:00,128.64479,0,0001
1952-08-01 06:00:00,126.81331,0,0001
1952-09-01 06:00:00,126.4096,0,0001
1952-10-01 06:00:00,127.75408,0,0001
1952-11-01 06:00:00,131.91396,0,0001
1952-12-01 06:00:00,136.2218,0,0001
1953-01-01 06:00:00,137.26797,0,0001
1953-02-01 06:00:00,131.81738,0,0001
1953-03-01 06:00:00,128.21098,0,0001
1953-04-01 06:00:00,126.26264,0,0001
1953-05-01 06:00:00,126.247345,0,0001
1953-06-01 06:00:00,128.52248,0,0001
1953-07-01 06:00:00,129.38452,0,0001
1953-08-01 06:00:00,127.51471,0,0001
1953-09-01 06:00:00,126.64066,0,0001
1953-10-01 06:00:00,127.7066,0,0001
1953-11-01 06:00:00,131.92915,0,0001
1953-12-01 06:00:00,136.35793,0,0001
1954-01-01 06:00:00,137.31639,0,0001
1954-02-01 06:00:00,133.64937,0,0001
1954-03-01 06:00:00,128.24513,0,0001
1954-04-01 06:00:00,125.59725,0,0001
1954-05-01 06:00:00,125.66389,0,0001
1954-06-01 06:00:00,128.6095,0,0001
1954-07-01 06:00:00,128.89827,0,0001
1954-08-01 06:00:00,126.85218,0,0001
1954-09-01 06:00:00,126.23179,0,0001
1954-10-01 06:00:00,127.68955,0,0001
1954-11-01 06:00:00,132.5192,0,0001
1954-12-01 06:00:00,137.97945,0,0001
1955-01-01 06:00:00,137.32323,0,0001
1955-02-01 06:00:00,132.44893,0,0001
1955-03-01 06:00:00,128.68459,0,0001
1955-04-01 06:00:00,126.16691,0,0001
1955-05-01 06:00:00,126.03569,0,0001
1955-06-01 06:00:00,128.91495,0,0001
1955-07-01 06:00:00,129.4165,0,0001
1955-08-01 06:00:00,127.70983,0,0001
1955-09-01 06:00:00,125.89015,0,0001
1955-10-01 06:00:00,127.173744,0,0001
1955-11-01 06:00:00,132.01382,0,0001
1955-12-01 06:00:00,137.48775,0,0001
1956-01-01 06:00:00,137.15446,0,0001
1956-02-01 06:00:00,133.80801,0,0001
1956-03-01 06:00:00,128.176,0,0001
1956-04-01 06:00:00,126.35692,0,0001
1956-05-01 06:00:00,126.04488,0,0001
1956-06-01 06:00:00,129.53058,0,0001
1956-07-01 06:00:00,130.23436,0,0001
1956-08-01 06:00:00,127.682396,0,0001
1956-09-01 06:00:00,126.866806,0,0001
1956-10-01 06:00:00,127.387985,0,0001
1956-11-01 06:00:00,132.17317,0,0001
1956-12-01 06:00:00,137.30104,0,0001
1957-01-01 06:00:00,137.76672,0,0001
1957-02-01 06:00:00,132.86823,0,0001
1957-03-01 06:00:00,127.898094,0,0001
1957-04-01 06:00:00,126.38357,0,0001
1957-05-01 06:00:00,125.686554,0,0001
1957-06-01 06:00:00,129.71683,0,0001
1957-07-01 06:00:00,129.704,0,0001
1957-08-01 06:00:00,128.50847,0,0001
1957-09-01 06:00:00,125.808624,0,0001
1957-10-01 06:00:00,127.07893,0,0001
1957-11-01 06:00:00,131.01784,0,0001
1957-12-01 06:00:00,137.04515,0,0001
1958-01-01 06:00:00,136.71179,0,0001
1958-02-01 06:00:00,132.64088,0,0001
1958-03-01 06:00:00,128.20737,0,0001
1958-04-01 06:00:00,127.07911,0,0001
1958-05-01 06:00:00,126.089294,0,0001
1958-06-01 06:00:00,129.03717,0,0001
1958-07-01 06:00:00,129.68204,0,0001
1958-08-01 06:00:00,127.7019,0,0001
1958-09-01 06:00:00,126.17037,0,0001
1958-10-01 06:00:00,127.13988,0,0001
1958-11-01 06:00:00,131.32935,0,0001
1958-12-01 06:00:00,137.66606,0,0001
1959-01-01 06:00:00,137.5415,0,0001
1959-02-01 06:00:00,132.86697,0,0001
1959-03-01 06:00:00,128.32034,0,0001
1959-04-01 06:00:00,125.81829,0,0001
1959-05-01 06:00:00,125.68543,0,0001
1959-06-01 06:00:00,129.71439,0,0001
1959-07-01 06:00:00,129.52916,0,0001
1959-08-01 06:00:00,127.365,0,0001
1959-09-01 06:00:00,126.69113,0,0001
1959-10-01 06:00:00,127.24289,0,0001
1959-11-01 06:00:00,131.48454,0,0001
1959-12-01 06:00:00,136.192,0,0001
1960-01-01 06:00:00,136.78912,0,0001
1960-02-01 06:00:00,133.22351,0,0001
1960-03-01 06:00:00,128.13159,0,0001
