valid_time,avg_tnlwrf,number,expver
1951-01-01 06:00:00,-225.03099,0,0001
1951-02-01 06:00:00,-224.12901,0,0001
1951-03-01 06:00:00,-223.6629,0,0001
1951-04-01 06:00:00,-224.61871,0,0001
1951-05-01 06:00:00,-228.25575,0,0001
1951-06-01 06:00:00,-230.89458,0,0001
1951-07-01 06:00:00,-231.00905,0,0001
1951-08-01 06:00:00,-230.80957,0,0001
1951-09-01 06:00:00,-228.74242,0,0001
1951-10-01 06:00:00,-226.25688,0,0001
1951-11-01 06:00:00,-225.82576,0,0001
1951-12-01 06:00:00,-226.4636,0,0001
1952-01-01 06:00:00,-226.05151,0,0001
1952-02-01 06:00:00,-225.7624,0,0001
1952-03-01 06:00:00,-223.97539,0,0001
1952-04-01 06:00:00,-224.29942,0,0001
1952-05-01 06:00:00,-227.15735,0,0001
1952-06-01 06:00:00,-230.82283,0,0001
1952-07-01 06:00:00,-232.24202,0,0001
1952-08-01 06:00:00,-229.72992,0,0001
1952-09-01 06:00:00,-228.2959,0,0001
1952-10-01 06:00:00,-226.44026,0,0001
1952-11-01 06:00:00,-224.74171,0,0001
1952-12-01 06:00:00,-225.69429,0,0001
1953-01-01 06:00:00,-225.73927,0,0001
1953-02-01 06:00:00,-224.53616,0,0001
1953-03-01 06:00:00,-222.65056,0,0001
1953-04-01 06:00:00,-224.5166,0,0001
1953-05-01 06:00:00,-228.52116,0,0001
1953-06-01 06:00:00,-231.11092,0,0001
1953-07-01 06:00:00,-232.21643,0,0001
1953-08-01 06:00:00,-230.934,0,0001
1953-09-01 06:00:00,-228.02808,0,0001
1953-10-01 06:00:00,-225.72609,0,0001
1953-11-01 06:00:00,-225.0066,0,0001
1953-12-01 06:00:00,-225.80789,0,0001
1954-01-01 06:00:00,-225.58145,0,0001
1954-02-01 06:00:00,-224.26503,0,0001
1954-03-01 06:00:00,-223.81886,0,0001
1954-04-01 06:00:00,-224.9095,0,0001
1954-05-01 06:00:00,-227.40073,0,0001
1954-06-01 06:00:00,-230.38676,0,0001
1954-07-01 06:00:00,-231.23062,0,0001
1954-08-01 06:00:00,-230.04596,0,0001
1954-09-01 06:00:00,-226.75476,0,0001
1954-10-01 06:00:00,-226.01704,0,0001
1954-11-01 06:00:00,-225.05704,0,0001
1954-12-01 06:00:00,-226.04668,0,0001
1955-01-01 06:00:00,-225.76198,0,0001
1955-02-01 06:00:00,-224.06506,0,0001
1955-03-01 06:00:00,-223.0984,0,0001
1955-04-01 06:00:00,-224.43353,0,0001
1955-05-01 06:00:00,-227.2316,0,0001
1955-06-01 06:00:00,-230.23413,0,0001
1955-07-01 06:00:00,-231.00653,0,0001
1955-08-01 06:00:00,-230.94792,0,0001
1955-09-01 06:00:00,-228.41798,0,0001
1955-10-01 06:00:00,-226.15381,0,0001
1955-11-01 06:00:00,-224.39151,0,0001
