valid_time,avg_tnswrf,number,expver
1951-07-01 06:00:00,202.23364,0,0001
1951-08-01 06:00:00,196.11365,0,0001
1951-09-01 06:00:00,190.64064,0,0001
1951-10-01 06:00:00,191.13895,0,0001
1951-11-01 06:00:00,199.5412,0,0001
1951-12-01 06:00:00,207.12706,0,0001
1952-01-01 06:00:00,206.41191,0,0001
1952-02-01 06:00:00,199.08875,0,0001
1952-03-01 06:00:00,191.28438,0,0001
1952-04-01 06:00:00,191.94331,0,0001
1952-05-01 06:00:00,196.46504,0,0001
1952-06-01 06:00:00,201.85034,0,0001
1952-07-01 06:00:00,201.97878,0,0001
1952-08-01 06:00:00,195.42111,0,0001
1952-09-01 06:00:00,190.2269,0,0001
1952-10-01 06:00:00,191.71054,0,0001
1952-11-01 06:00:00,199.21028,0,0001
1952-12-01 06:00:00,206.82755,0,0001
1953-01-01 06:00:00,206.88914,0,0001
1953-02-01 06:00:00,198.45723,0,0001
1953-03-01 06:00:00,191.85785,0,0001
1953-04-01 06:00:00,192.06247,0,0001
1953-05-01 06:00:00,197.1669,0,0001
1953-06-01 06:00:00,202.79976,0,0001
1953-07-01 06:00:00,202.53192,0,0001
1953-08-01 06:00:00,196.16197,0,0001
1953-09-01 06:00:00,190.41454,0,0001
1953-10-01 06:00:00,191.74806,0,0001
1953-11-01 06:00:00,199.5531,0,0001
1953-12-01 06:00:00,206.94705,0,0001
1954-01-01 06:00:00,206.84082,0,0001
1954-02-01 06:00:00,199.99352,0,0001
1954-03-01 06:00:00,191.65298,0,0001
1954-04-01 06:00:00,191.3604,0,0001
1954-05-01 06:00:00,196.42255,0,0001
1954-06-01 06:00:00,202.60013,0,0001
1954-07-01 06:00:00,202.05594,0,0001
1954-08-01 06:00:00,195.56715,0,0001
1954-09-01 06:00:00,189.73021,0,0001
1954-10-01 06:00:00,191.47237,0,0001
1954-11-01 06:00:00,199.76448,0,0001
1954-12-01 06:00:00,207.84781,0,0001
1955-01-01 06:00:00,206.83525,0,0001
1955-02-01 06:00:00,198.79405,0,0001
1955-03-01 06:00:00,192.01988,0,0001
1955-04-01 06:00:00,191.71071,0,0001
1955-05-01 06:00:00,196.40338,0,0001
1955-06-01 06:00:00,202.68648,0,0001
1955-07-01 06:00:00,202.57793,0,0001
1955-08-01 06:00:00,196.4156,0,0001
1955-09-01 06:00:00,189.78041,0,0001
1955-10-01 06:00:00,191.05263,0,0001
1955-11-01 06:00:00,199.14047,0,0001
1955-12-01 06:00:00,207.53435,0,0001
1956-01-01 06:00:00,207.34526,0,0001
1956-02-01 06:00:00,200.18924,0,0001
1956-03-01 06:00:00,191.7206,0,0001
1956-04-01 06:00:00,191.96764,0,0001
1956-05-01 06:00:00,196.52419,0,0001
1956-06-01 06:00:00,203.18163,0,0001
1956-07-01 06:00:00,203.39996,0,0001
1956-08-01 06:00:00,196.17436,0,0001
1956-09-01 06:00:00,190.47339,0,0001
1956-10-01 06:00:00,191.39954,0,0001
1956-11-01 06:00:00,199.67967,0,0001
1956-12-01 06:00:00,207.75455,0,0001
1957-01-01 06:00:00,207.12964,0,0001
1957-02-01 06:00:00,199.11095,0,0001
1957-03-01 06:00:00,191.62497,0,0001
1957-04-01 06:00:00,192.4267,0,0001
1957-05-01 06:00:00,196.88174,0,0001
1957-06-01 06:00:00,203.67856,0,0001
1957-07-01 06:00:00,203.17566,0,0001
1957-08-01 06:00:00,197.25507,0,0001
1957-09-01 06:00:00,190.07578,0,0001
1957-10-01 06:00:00,191.6261,0,0001
1957-11-01 06:00:00,199.15047,0,0001
1957-12-01 06:00:00,207.9601,0,0001
1958-01-01 06:00:00,206.82758,0,0001
1958-02-01 06:00:00,199.51495,0,0001
1958-03-01 06:00:00,191.98833,0,0001
1958-04-01 06:00:00,192.86305,0,0001
1958-05-01 06:00:00,197.09006,0,0001
1958-06-01 06:00:00,203.15869,0,0001
1958-07-01 06:00:00,203.1804,0,0001
1958-08-01 06:00:00,196.59792,0,0001
1958-09-01 06:00:00,190.19171,0,0001
1958-10-01 06:00:00,191.33112,0,0001
1958-11-01 06:00:00,199.25255,0,0001
1958-12-01 06:00:00,207.82828,0,0001
1959-01-01 06:00:00,207.11736,0,0001
1959-02-01 06:00:00,199.69469,0,0001
1959-03-01 06:00:00,192.19402,0,0001
1959-04-01 06:00:00,191.85834,0,0001
1959-05-01 06:00:00,196.91382,0,0001
1959-06-01 06:00:00,203.84709,0,0001
