valid_time,avg_sdlwrf,number,expver
1950-02-01 06:00:00,283.88306,0,0001
1950-03-01 06:00:00,286.73364,0,0001
1950-04-01 06:00:00,290.92422,0,0001
1950-05-01 06:00:00,300.29828,0,0001
1950-06-01 06:00:00,308.09195,0,0001
1950-07-01 06:00:00,312.27423,0,0001
1950-08-01 06:00:00,309.3856,0,0001
1950-09-01 06:00:00,304.59793,0,0001
1950-10-01 06:00:00,296.7474,0,0001
1950-11-01 06:00:00,289.12524,0,0001
1950-12-01 06:00:00,287.15094,0,0001
1951-01-01 06:00:00,285.11954,0,0001
1951-02-01 06:00:00,284.09805,0,0001
1951-03-01 06:00:00,287.68506,0,0001
1951-04-01 06:00:00,291.86356,0,0001
1951-05-01 06:00:00,303.2979,0,0001
1951-06-01 06:00:00,308.9224,0,0001
1951-07-01 06:00:00,311.87918,0,0001
1951-08-01 06:00:00,311.55356,0,0001
1951-09-01 06:00:00,305.7096,0,0001
1951-10-01 06:00:00,299.16507,0,0001
1951-11-01 06:00:00,290.18774,0,0001
1951-12-01 06:00:00,287.61703,0,0001
1952-01-01 06:00:00,287.48654,0,0001
1952-02-01 06:00:00,287.1054,0,0001
1952-03-01 06:00:00,287.53168,0,0001
1952-04-01 06:00:00,291.8821,0,0001
1952-05-01 06:00:00,301.53635,0,0001
1952-06-01 06:00:00,309.7816,0,0001
1952-07-01 06:00:00,314.09244,0,0001
1952-08-01 06:00:00,310.8576,0,0001
1952-09-01 06:00:00,304.95975,0,0001
1952-10-01 06:00:00,296.2575,0,0001
1952-11-01 06:00:00,288.3824,0,0001
1952-12-01 06:00:00,287.63943,0,0001
1953-01-01 06:00:00,286.31033,0,0001
1953-02-01 06:00:00,286.91946,0,0001
1953-03-01 06:00:00,286.65622,0,0001
1953-04-01 06:00:00,293.93045,0,0001
1953-05-01 06:00:00,303.28708,0,0001
1953-06-01 06:00:00,309.8821,0,0001
1953-07-01 06:00:00,313.27048,0,0001
1953-08-01 06:00:00,311.62662,0,0001
1953-09-01 06:00:00,304.56326,0,0001
1953-10-01 06:00:00,296.5001,0,0001
1953-11-01 06:00:00,291.27692,0,0001
1953-12-01 06:00:00,289.40677,0,0001
1954-01-01 06:00:00,285.4101,0,0001
1954-02-01 06:00:00,285.47403,0,0001
1954-03-01 06:00:00,286.20584,0,0001
1954-04-01 06:00:00,292.46802,0,0001
1954-05-01 06:00:00,301.48355,0,0001
1954-06-01 06:00:00,308.59525,0,0001
1954-07-01 06:00:00,311.75616,0,0001
1954-08-01 06:00:00,310.58307,0,0001
1954-09-01 06:00:00,301.90524,0,0001
1954-10-01 06:00:00,296.90063,0,0001
1954-11-01 06:00:00,289.6375,0,0001
1954-12-01 06:00:00,286.5753,0,0001
1955-01-01 06:00:00,286.45908,0,0001
1955-02-01 06:00:00,284.56506,0,0001
1955-03-01 06:00:00,285.45334,0,0001
1955-04-01 06:00:00,291.68982,0,0001
1955-05-01 06:00:00,300.2331,0,0001
1955-06-01 06:00:00,308.22052,0,0001
1955-07-01 06:00:00,311.5811,0,0001
1955-08-01 06:00:00,312.02655,0,0001
1955-09-01 06:00:00,304.6172,0,0001
1955-10-01 06:00:00,295.7773,0,0001
1955-11-01 06:00:00,287.02405,0,0001
1955-12-01 06:00:00,284.46152,0,0001
1956-01-01 06:00:00,287.7512,0,0001
1956-02-01 06:00:00,285.82367,0,0001
1956-03-01 06:00:00,286.97607,0,0001
1956-04-01 06:00:00,290.9092,0,0001
1956-05-01 06:00:00,299.107,0,0001
1956-06-01 06:00:00,307.3356,0,0001
1956-07-01 06:00:00,311.21704,0,0001
1956-08-01 06:00:00,309.34476,0,0001
1956-09-01 06:00:00,302.3489,0,0001
1956-10-01 06:00:00,293.75922,0,0001
1956-11-01 06:00:00,290.0571,0,0001
1956-12-01 06:00:00,289.03638,0,0001
1957-01-01 06:00:00,285.8004,0,0001
1957-02-01 06:00:00,285.4516,0,0001
1957-03-01 06:00:00,287.33398,0,0001
1957-04-01 06:00:00,293.1783,0,0001
1957-05-01 06:00:00,302.3137,0,0001
1957-06-01 06:00:00,309.24844,0,0001
1957-07-01 06:00:00,312.41528,0,0001
1957-08-01 06:00:00,310.973,0,0001
1957-09-01 06:00:00,304.861,0,0001
1957-10-01 06:00:00,298.87222,0,0001
1957-11-01 06:00:00,290.82907,0,0001
1957-12-01 06:00:00,288.07962,0,0001
1958-01-01 06:00:00,289.9927,0,0001
1958-02-01 06:00:00,287.85608,0,0001
1958-03-01 06:00:00,288.10458,0,0001
1958-04-01 06:00:00,291.14496,0,0001
1958-05-01 06:00:00,301.35226,0,0001
1958-06-01 06:00:00,308.5924,0,0001
1958-07-01 06:00:00,312.7358,0,0001
1958-08-01 06:00:00,311.03787,0,0001
1958-09-01 06:00:00,304.2913,0,0001
1958-10-01 06:00:00,296.2131,0,0001
1958-11-01 06:00:00,289.6806,0,0001
1958-12-01 06:00:00,286.07916,0,0001
1959-01-01 06:00:00,286.9993,0,0001
1959-02-01 06:00:00,287.41342,0,0001
1959-03-01 06:00:00,289.9195,0,0001
1959-04-01 06:00:00,294.7171,0,0001
1959-05-01 06:00:00,302.37766,0,0001
1959-06-01 06:00:00,309.15436,0,0001
1959-07-01 06:00:00,312.68607,0,0001
1959-08-01 06:00:00,312.18048,0,0001
1959-09-01 06:00:00,304.22272,0,0001
1959-10-01 06:00:00,297.40125,0,0001
1959-11-01 06:00:00,290.86404,0,0001
1959-12-01 06:00:00,288.32538,0,0001
1960-01-01 06:00:00,287.3085,0,0001
1960-02-01 06:00:00,286.40747,0,0001
1960-03-01 06:00:00,285.9955,0,0001
1960-04-01 06:00:00,292.03116,0,0001
1960-05-01 06:00:00,301.99072,0,0001
1960-06-01 06:00:00,309.60703,0,0001
1960-07-01 06:00:00,313.0706,0,0001
1960-08-01 06:00:00,311.4918,0,0001
1960-09-01 06:00:00,305.81952,0,0001
1960-10-01 06:00:00,296.99875,0,0001
1960-11-01 06:00:00,289.12366,0,0001
1960-12-01 06:00:00,288.83414,0,0001
1961-01-01 06:00:00,287.30994,0,0001
1961-02-01 06:00:00,286.57993,0,0001
1961-03-01 06:00:00,286.7334,0,0001
1961-04-01 06:00:00,292.93448,0,0001
1961-05-01 06:00:00,300.8609,0,0001
1961-06-01 06:00:00,309.3018,0,0001
1961-07-01 06:00:00,312.53928,0,0001
1961-08-01 06:00:00,311.13898,0,0001
1961-09-01 06:00:00,305.51007,0,0001
1961-10-01 06:00:00,298.1572,0,0001
1961-11-01 06:00:00,290.29764,0,0001
1961-12-01 06:00:00,285.81116,0,0001
1962-01-01 06:00:00,286.4403,0,0001
1962-02-01 06:00:00,286.54993,0,0001
1962-03-01 06:00:00,288.4429,0,0001
1962-04-01 06:00:00,292.18195,0,0001
1962-05-01 06:00:00,300.22253,0,0001
1962-06-01 06:00:00,308.15137,0,0001
1962-07-01 06:00:00,312.07068,0,0001
1962-08-01 06:00:00,310.52982,0,0001
1962-09-01 06:00:00,302.96735,0,0001
1962-10-01 06:00:00,296.3565,0,0001
1962-11-01 06:00:00,290.81262,0,0001
1962-12-01 06:00:00,286.51483,0,0001
1963-01-01 06:00:00,286.34018,0,0001
1963-02-01 06:00:00,286.0809,0,0001
1963-03-01 06:00:00,285.70215,0,0001
1963-04-01 06:00:00,292.26215,0,0001
1963-05-01 06:00:00,301.65347,0,0001
1963-06-01 06:00:00,309.09708,0,0001
1963-07-01 06:00:00,312.93793,0,0001
1963-08-01 06:00:00,312.6435,0,0001
