valid_time,avg_sdswrf,number,expver
1940-01-01 06:00:00,186.73044,0,0001
1940-02-01 06:00:00,169.79773,0,0001
1940-03-01 06:00:00,156.30013,0,0001
1940-04-01 06:00:00,159.72754,0,0001
1940-05-01 06:00:00,166.22583,0,0001
1940-06-01 06:00:00,162.72766,0,0001
1940-07-01 06:00:00,154.71042,0,0001
1940-08-01 06:00:00,149.20372,0,0001
1940-09-01 06:00:00,148.4142,0,0001
1940-10-01 06:00:00,161.39786,0,0001
1940-11-01 06:00:00,182.929,0,0001
1940-12-01 06:00:00,193.87598,0,0001
1941-01-01 06:00:00,186.655,0,0001
1941-02-01 06:00:00,169.44241,0,0001
1941-03-01 06:00:00,156.7866,0,0001
1941-04-01 06:00:00,159.7401,0,0001
1941-05-01 06:00:00,166.08662,0,0001
1941-06-01 06:00:00,163.55919,0,0001
1941-07-01 06:00:00,154.66493,0,0001
1941-08-01 06:00:00,148.13312,0,0001
1941-09-01 06:00:00,148.34293,0,0001
1941-10-01 06:00:00,161.69832,0,0001
1941-11-01 06:00:00,182.29208,0,0001
1941-12-01 06:00:00,193.57144,0,0001
1942-01-01 06:00:00,186.93016,0,0001
1942-02-01 06:00:00,170.05724,0,0001
1942-03-01 06:00:00,157.56895,0,0001
1942-04-01 06:00:00,161.1841,0,0001
1942-05-01 06:00:00,165.73103,0,0001
1942-06-01 06:00:00,162.77336,0,0001
1942-07-01 06:00:00,154.96942,0,0001
1942-08-01 06:00:00,147.50192,0,0001
1942-09-01 06:00:00,149.00371,0,0001
1942-10-01 06:00:00,162.06021,0,0001
1942-11-01 06:00:00,182.94318,0,0001
1942-12-01 06:00:00,192.74718,0,0001
1943-01-01 06:00:00,186.86003,0,0001
1943-02-01 06:00:00,169.6356,0,0001
1943-03-01 06:00:00,156.37234,0,0001
1943-04-01 06:00:00,159.95032,0,0001
1943-05-01 06:00:00,165.8007,0,0001
1943-06-01 06:00:00,162.19073,0,0001
1943-07-01 06:00:00,155.00803,0,0001
1943-08-01 06:00:00,148.6466,0,0001
1943-09-01 06:00:00,147.60704,0,0001
1943-10-01 06:00:00,161.99986,0,0001
1943-11-01 06:00:00,182.43903,0,0001
1943-12-01 06:00:00,191.18617,0,0001
1944-01-01 06:00:00,185.6482,0,0001
1944-02-01 06:00:00,168.59102,0,0001
1944-03-01 06:00:00,156.32898,0,0001
1944-04-01 06:00:00,159.99094,0,0001
1944-05-01 06:00:00,166.53317,0,0001
1944-06-01 06:00:00,161.52522,0,0001
1944-07-01 06:00:00,152.35419,0,0001
1944-08-01 06:00:00,147.78206,0,0001
1944-09-01 06:00:00,147.16043,0,0001
1944-10-01 06:00:00,160.86967,0,0001
1944-11-01 06:00:00,181.13548,0,0001
1944-12-01 06:00:00,191.36613,0,0001
1945-01-01 06:00:00,186.64279,0,0001
1945-02-01 06:00:00,169.64027,0,0001
1945-03-01 06:00:00,156.92294,0,0001
1945-04-01 06:00:00,160.02983,0,0001
1945-05-01 06:00:00,166.7068,0,0001
1945-06-01 06:00:00,162.8773,0,0001
1945-07-01 06:00:00,155.01303,0,0001
1945-08-01 06:00:00,148.33551,0,0001
1945-09-01 06:00:00,147.35796,0,0001
1945-10-01 06:00:00,161.84793,0,0001
1945-11-01 06:00:00,181.44728,0,0001
1945-12-01 06:00:00,192.36577,0,0001
1946-01-01 06:00:00,186.0791,0,0001
1946-02-01 06:00:00,169.39459,0,0001
1946-03-01 06:00:00,156.8459,0,0001
1946-04-01 06:00:00,160.82549,0,0001
1946-05-01 06:00:00,166.17761,0,0001
1946-06-01 06:00:00,164.05318,0,0001
1946-07-01 06:00:00,155.26941,0,0001
1946-08-01 06:00:00,149.25618,0,0001
1946-09-01 06:00:00,148.4964,0,0001
